Index,NatGeo_Title,Wikipedia_Title,NatGeo_Length,Wikipedia_Length,Category,NatGeo_Figurativeness,NatGeo_Emotionality,NatGeo_Decorativeness,NatGeo_Overall,Wiki_Figurativeness,Wiki_Emotionality,Wiki_Decorativeness,Wiki_Overall,Difference_Overall
1,5 reasons why festivals are fantastic,Festival,1610,12706,5-reasons-why,0.18920888966244423,0.193,0.5717731629392971,0.30511550474676685,0.2080444914597684,0.274,0.5472304087331751,0.32958691920385985,-0.024471414457093
2,Check out the issue!,Shark,896,53984,magazine,0.271526527079797,0.20700000000000002,0.6233723196881091,0.35772230673835154,0.17383007925430624,0.138,0.4615976909574564,0.24941133898895942,0.10831096774939211
3,Independence Day,Independence Day (United States),3107,14758,history,0.12972109094666823,0.22499999999999998,0.4782845740863024,0.262873808604558,0.12610654774294738,0.109,0.4843469311744065,0.2284466984495009,0.03442711015505709
4,Endangered Species Act,Animal law,7151,11176,history,0.16836326634241944,0.187,0.5047341180399032,0.27486554194893875,0.22749137051465765,0.137,0.5154729874012385,0.2867384444262346,-0.011872902477295832
5,How to write an animal report,Beluga whale,2764,70508,homework-help,0.19378998498336344,0.124,0.6025829725829726,0.2954908857682371,0.11944919748748362,0.1,0.42656506804063354,0.2057491994071835,0.08974168636105362
6,5 reasons why summer is cool,Summer,1678,11412,5-reasons-why,0.10399337218238874,0.07700000000000001,0.5569601328903655,0.23178538874006516,0.11926619707301575,0.07100000000000001,0.47385398379872,0.21116267396882232,0.020622714771242834
7,The Women's Suffrage Movement,Suffrage,8957,55879,history,0.13407393208984342,0.173,0.44729216373541825,0.23971722195656284,0.132821304319895,0.113,0.402982875504526,0.2079233843793158,0.03179383757724705
8,World Oceans Day,World Oceans Day,355,1586,nature,0.04338192747479258,0.27,0.5305847953216374,0.25752820958640826,0.0012880487768357212,0.083,0.5451404151404151,0.1889573440528588,0.06857086553354946
9,Moment of Fresh Water,Freshwater ecosystem,113,7442,moment-of,0.09177837028199484,0.174,0.5740000000000001,0.26111134811279796,0.0010829793049947113,0.118,0.557812404986318,0.20317691321789327,0.057934434894904685
10,Superb owls,Owl,2367,32225,unknown,0.11836377024075596,0.072,0.596530612244898,0.24790469176977176,0.10419177355729517,0.118,0.512056952056952,0.23069379504000365,0.01721089672976811
