url,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-festivals-are-fantastic,5 reasons why festivals are fantastic,"Whether you’re in South Korea, Spain, or the Netherlands, there’s always a reason to celebrate! Check out five amazing festivals from around the world.",Unknown,,https://i.natgeofe.com/k/3f27321c-f4a4-4cf4-b010-23b66f15503c/5-reasons-festival.jpg?w=374&h=249,1610,
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-why-summer-is-cool,5 reasons why summer is cool,Hooray for summer! Find out why this sunny season deserves a warm welcome.,Unknown,,https://i.natgeofe.com/k/a3ed2cef-5c51-42f5-a81a-438db596fd9e/5-reasons-summer.jpg?w=374&h=249,1678,
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-why-bald-eagles,5 reasons why bald eagles are the best,The bald eagle has been the national symbol of the United States since 1782. Find out why these majestic birds are so cool.,Unknown,,https://i.natgeofe.com/k/02444b59-a50d-48e6-939b-4db10f895e66/5-reasons-eagle.jpg?w=374&h=249,1420,
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-why-you-should-love-earth,5 reasons why you should love Earth,Get the dirt on our planet and what makes it so awesome.,Allyson Shaw,,https://i.natgeofe.com/k/fbca57dd-061f-4a27-a4eb-d0d0fd42cb4b/ww-hearts-nature-reef.jpg?w=374&h=210,1905,
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-snow-leopards,5 reasons why you'll leap for snow leopards,Snow leopards are extreme athletes with some wizard-like abilities. Find out more about these big cats’ amazing skills.,Allyson Shaw,,https://i.natgeofe.com/k/d93ce103-4529-4e8d-a5c4-891825d1641c/5rw-snow-leopard-cave.jpg?w=374&h=210,1294,
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-why-armadillos-are-awesome,5 reasons why armadillos are awesome,Armadillos are nature's goofballs! Here are five reasons why these animals will make you ROTFL.,Unknown,,https://i.natgeofe.com/k/c0be12f5-f43f-4344-9c5e-117e86857fe9/5-reasons-armadillo.jpg?w=374&h=254,1297,
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-bats-are-best,5 reasons why bats are the best,You’ll want to go to bat for these awesome mammals after reading about their supercool skills.,Andrea Silen,,https://i.natgeofe.com/k/7edc22d6-efd8-447e-ac86-bcc8858d11c7/5-reasons-bat.jpg?w=374&h=249,1329,
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-astronauts-are-awesome,5 reasons why astronauts are awesome,Space explorers go above and beyond on the job. Here are five cool things about these pioneers.,Unknown,,https://i.natgeofe.com/k/79472f4f-a6d7-4d39-8737-a944267fdab0/5-reasons-astronaut.jpg?w=374&h=254,1663,Exploration
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-fall-is-fantastic,5 reasons why fall is fantastic,"Temperatures may cool down during the fall season, but the fun is just heating up. Find out why autumn is excellent.",Andrea Silen,,https://i.natgeofe.com/k/afe65cd8-5330-4c4a-90e1-085cf20d5a61/5-reasons-fall.jpg?w=374&h=250,1524,
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-why-you-should-try-world-breakfast,5 reasons why you should try breakfast around the world,Rise and dine! Check out breakfast meals from five countries that are so good you’ll stop hitting the snooze button.,Unknown,,https://i.natgeofe.com/k/7317e04f-4d6e-4848-9c3e-360459cf6f15/5-reasons-breakfast.jpg?w=374&h=249,1439,
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-brain-is-mind-blowing,5 reasons why your brain is mind-blowing,Wrap your head around these awesome facts.,Andrea Silen,,https://i.natgeofe.com/k/9baef359-f5ad-408f-a7c7-218d3e0b6c2a/5-reasons-brain.jpg?w=374&h=249,1542,
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-why-animal-moms,5 reasons why animal moms are awesome,"In the animal kingdom, these mothers rule! Check out five marvelous moms of the wild.",Unknown,,https://i.natgeofe.com/k/6afa668e-04bc-46f7-87c5-bbd01f2ff55a/5-reasons-penguin.jpg?w=374&h=254,1528,Parenting
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-tigers-are-terrific,5 reasons why tigers are terrific,Tigers are unlike any other feline. Discover what makes them stand out from the rest of the cat crowd.,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1150,
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-sloths-are-spectacular,5 reasons why sloths are spectacular,,Andrea Silen,,https://i.natgeofe.com/k/fbdb91c9-787d-4f5b-8eec-26ac171722b7/5-reasons-sloth.jpg?w=374&h=249,1518,
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-why-water-rules,5 reasons why water rules,"Water quenches your thirst, is fun to play in, and generally keeps us alive. (Yeah, it's kind of important.) Check out other reasons why you should love this liquid.",Allyson Shaw,,https://i.natgeofe.com/k/2bd945ea-8cea-4874-903a-c3f0146373d3/5-reasons-water.jpg?w=374&h=249,1463,
