url,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/awesome-8/article/animal-group-names,Awesome 8 Animal Group Names,"Maybe you know that a group of lions is called a pride, but other animal groups have even weirder names, like a streak of tigers, and a sloth of bears. Scroll down to see eight whimsical words for groups of animals!",Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2679,
https://kids.nationalgeographic.com/awesome-8/article/big-cats,Awesome 8 Wild Cats,"These wild cats have amazing strength, endurance, and predatory skills. Check out a few wild facts about these fabulous felines!",Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1639,
https://kids.nationalgeographic.com/awesome-8/article/roller-coasters,Awesome 8 Roller Coasters,"The wind is rushing through your hair, your throat is sore from screaming, and your stomach is tied in knots. You must be on a wild roller coaster ride! Here are eight of the world’s most awesome roller coasters.",Laura Goertzel,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1624,Summer
https://kids.nationalgeographic.com/awesome-8/article/hubble-space-telescope,Awesome 8 Hubble Space Telescope,"Since NASA launched the Hubble Space Telescope in April 1990, it’s captured countless jaw-dropping images of outer space. Check out some of Hubble’s coolest shots.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2181,Environment
https://kids.nationalgeographic.com/awesome-8/article/fancy-food,Awesome 8 Fancy Food,"Feast your eyes on some of the most luxurious eats the world has to offer. Dripping with diamonds, globbed with gold, and sprinkled with rare spices, these treats will make you feel like a million bucks (and may cost you just as much!).",Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2993,
https://kids.nationalgeographic.com/awesome-8/article/things-on-you,"Awesome 8 Things Living On, In, and With You","Your body isn’t just yours. It’s home to millions of other life-forms. Organisms too small to see with just your eyes, called microbes, outnumber your human cells ten to one. But don’t worry—most of them are harmless or even helpful. But that doesn’t mean they’re not gross.",Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2686,
https://kids.nationalgeographic.com/awesome-8/article/weird-ice-cream,Awesome 8 weird ice cream flavors,,Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2472,
https://kids.nationalgeographic.com/awesome-8/article/baby-animals,Awesome 8 Baby Animals,,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1671,
https://kids.nationalgeographic.com/awesome-8/article/wacky-landmarks,Awesome 8 Wacky Landmarks,,Andrea Silen,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2219,
https://kids.nationalgeographic.com/awesome-8/article/cool-pools,Awesome 8 Cool Pools,"Splash around in these eight cool pools from places like Africa, Asia, and Europe.",Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1969,Travel
https://kids.nationalgeographic.com/awesome-8/article/wacky-houses,Awesome 8 Wacky Houses,"Treehouse? Toilet? Skyscraper? Underground? With these wacky structures, you have your pick of places to live or stay on vacation.",Laura Goertzel,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1963,"Landmark, Travel"
https://kids.nationalgeographic.com/awesome-8/article/carnivorous-plants,Awesome 8 Carnivorous Plants,Some plants aren’t eaten by bugs—they eat the bugs themselves! Nearly 700 species of these carnivorous plants live throughout the world.,Laura Goertzel,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1990,Environment
https://kids.nationalgeographic.com/awesome-8/article/skyscrapers,Awesome 8 Skyscrapers,"These spectacular skyscrapers are so much more than simply tall buildings. Meet some of the funkiest, roundest, cutest, and yes, tallest structures in the world.",Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",3089,
https://kids.nationalgeographic.com/awesome-8/article/harry-potter,Awesome 8 Harry Potter,We love Harry Potter and we know you do too! That's why we’ve cast an Accio charm and summoned eight enchanting facts about the spellbinding book and movie series.,Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2372,
https://kids.nationalgeographic.com/awesome-8/article/animals-spooky-names,Awesome 8 Animals With Spooky Names,,Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",3712,Animals
https://kids.nationalgeographic.com/awesome-8/article/robots,Awesome 8 Rad Robots,"The future is here! Check out eight of the coolest new bots coming soon to a library, hospital, or home near you!",Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2882,
