url,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/books/article/wbt-dinomania,Weird But True: Dinosaurs,,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",121,
https://kids.nationalgeographic.com/books/article/dino-activities-page,Dinosaur Activities,Click on the activity below to get the printable version.,Unknown,,https://i.natgeofe.com/k/5b9a25ef-6492-4545-b958-ce402f62d583/DinoMAYnia-PromoTiles-1920x1080-8171-FINAL1.jpg?w=374&h=210,0,
https://kids.nationalgeographic.com/books/article/try-this-ghost-glove,Make a ghost glove,Impress your friends with this cool science experiment.,MATTHEW RAKOLA,,https://i.natgeofe.com/k/d500e556-2608-4d9d-8f8b-af5fb09b5091/ghost-glove-no-logo.gif?w=374&h=324,1283,Books
https://kids.nationalgeographic.com/books/article/elephant-toothpaste,Elephant toothpaste,,MATTHEW RAKOLA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2008,
https://kids.nationalgeographic.com/books/article/color-explosion,Color explosion,Chemistry doesn't have to be boring—especially when you can get a cool art project out of it.,MATTHEW RAKOLA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1865,
https://kids.nationalgeographic.com/books/article/marshmallow-madness,Marshmallow madness,"With help from a marshmallow and syringe (without the needle!), you can create pressure that's stronger than the atmosphere, right in the palm of your hand.",Lori Epstein,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1100,
https://kids.nationalgeographic.com/books/article/try-this-hula-hoop,Hula-Hoop Observation,"Be backyard scientist. Use a Hula-Hoop to isolate an area to observe. And if you don't have a hoop, make one with instructions from the Nat Geo Kids book Try This!.",MATTHEW RAKOLA,,https://i.natgeofe.com/k/50d828e0-476e-4be0-ba0c-66230285496e/try-this-observation.jpg?w=374&h=249,3041,Books
https://kids.nationalgeographic.com/books/article/try-this-candy-coating,未找到标题,Try this sweet science experiment from the Nat Geo Kids book Try This!: 50 Fun Experiments for the Mad Scientist in You.,MATTHEW RAKOLA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1344,Books
https://kids.nationalgeographic.com/books/article/super-ball,Make a super ball!,What makes something bounce? Here’s an experiment for finding the bounce in a combination of ingredients.,MATTHEW RAKOLA,,https://i.natgeofe.com/k/88089bd1-4e63-45df-a398-5d0380c4008a/try-this-super-ball-og.jpg?w=374&h=228,1431,
https://kids.nationalgeographic.com/books/article/underwater-scope,Make an underwater scope,,Lori Epstein,,https://i.natgeofe.com/k/a622a3fd-714e-4235-bc18-a9ef799276bc/underwater-scope.jpg?w=374&h=512,916,
https://kids.nationalgeographic.com/books/article/ice-cream,Make Ice Cream,Chill out with this easy recipe for a DIY treat.,Emma Wood,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2096,Cooking
https://kids.nationalgeographic.com/books/article/ultimate-book-of-sharks,Ultimate Book of Sharks,Dive into the wild world of sharks with the Nat Geo photographer and Explorer Brian Skerry.,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",241,
https://kids.nationalgeographic.com/books/article/future-pets,Future pets,Check out what your animal companions might look like many years from now.,Stephanie Warren Drimmer,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",3306,"Technology, Math"
https://kids.nationalgeographic.com/books/article/puppy-life,It's a Puppy's Life,,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",243,Books
https://kids.nationalgeographic.com/books/article/somebunny,Somebunny Loves Me,,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",318,Baby Animals
https://kids.nationalgeographic.com/books/article/dog-science,Dog Science Unleashed,,MATTHEW RAKOLA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",5554,Pets
https://kids.nationalgeographic.com/books/article/cat-science,Cat Science,Put your kitty to the test!,MATTHEW RAKOLA,,https://i.natgeofe.com/k/3a4904d2-ee7f-44ff-a86f-9f0b9be5704b/cat-science-wiffle-promo.jpg?w=374&h=249,1937,Domestic Cat
https://kids.nationalgeographic.com/books/article/stop-motion-movies,Stop motion movies,"Stop motion is a special type of animation. It uses real objects—instead of drawings or computer-generated images—to tell a story. The story characters can be people, animals, or even everyday objects. You can make them out of clay or paper or just use some toy figures, puppets, or even friends!",Unknown,,https://i.natgeofe.com/k/1d968cca-b1d2-4bc9-84c3-58b523b6241f/htw-then-and-now-movie-1.jpg?w=374&h=296,2533,"Science and Technology, Technology"
https://kids.nationalgeographic.com/books/article/roman-ice-arch,Make a Roman arch,The forces of a Roman arch so strong that arches can stand without any glue or other adhesive holding them together. Try it for yourself!,MATTHEW RAKOLA,,https://i.natgeofe.com/k/b82bc308-90b4-47e1-aa7d-1076cce397ed/make-this-ice-arch-og.jpg?w=374&h=206,3107,Ancient Rome
https://kids.nationalgeographic.com/books/article/guitar,Make a guitar,"The guitar is one of the most popular instruments around the world, and different cultures have different variations. The Russian version called is the balalaika. In India it's called the sitar, and in Polynesia it's known as a ukulele. Even though the designs are somewhat different, all the versions make music the same way: by plucking or strumming strings, which creates sound vibrations. Try it for yourself!",MATTHEW RAKOLA,,https://i.natgeofe.com/k/1eb60d49-4117-431e-b53e-791f31af018a/make-this-guitar-og.jpg?w=374&h=258,1739,"Music, Musical Instruments"
https://kids.nationalgeographic.com/books/article/water-wonders,Make a water filter,This fun science experiment turns dirty water clean. (Kind of.),Unknown,,https://i.natgeofe.com/k/b696432d-1529-4d98-87b1-c439907b6a5e/how-things-work-wonder-waters-filter-main.jpg?w=374&h=268,2615,Water
https://kids.nationalgeographic.com/books/article/indoor-herb-garden,Grow an indoor herb garden,It's easy—and healthy—to grow fresh stuff at home.,Unknown,,https://i.natgeofe.com/k/2a6d8d29-239e-4962-985f-52c811635482/herbgarden.jpg?w=374&h=368,1334,Gardens
https://kids.nationalgeographic.com/books/article/paper-engineering,Paper engineering,Discover the kind of engineering involved in designing pop-ups.,MATTHEW RAKOLA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2079,"Engineering, Engineers"
https://kids.nationalgeographic.com/books/article/watermelon-drum,Make musical instruments using fruits and veggies,,Unknown,,https://i.natgeofe.com/k/a3b59dcd-40a4-47c1-ab34-3543322b0b53/watermelon-drum-textimage.jpg?w=374&h=211,997,Fruit
https://kids.nationalgeographic.com/books/article/pinhole-camera,Pinhole Camera,"Make a ""camera,"" and learn how a real one works!",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1219,Photography
https://kids.nationalgeographic.com/books/article/make-a-birdbath,Make a birdbath,You've probably noticed birds using fountains in the park to take a bath. Make a birdbath for your own yard with this craft from the Nat Geo Kids Get Outside Guide by Nancy Honovich and Julie Beer. Then watch as the birds come by to splish and splash!,Lori Epstein,,https://i.natgeofe.com/k/1916a651-14a3-4f4d-a33d-799ce5aff1bc/backyard-gallery-bird.jpg?w=374&h=210,1127,Birds
https://kids.nationalgeographic.com/books/article/create-compost,Create a compost,Make your own composting bin at home.,Unknown,,https://i.natgeofe.com/k/fb586a58-93f7-4c98-97db-df319c5b90ba/create-compost-textimage.jpg?w=374&h=210,1767,"Recycling, Trash"
https://kids.nationalgeographic.com/books/article/make-an-ice-sun-catcher,Make an ice sun catcher,"When the cold winter days arrive, go outside and decorate with this craft from the Nat Geo Kids Get Outside Guide by Nancy Honovich and Julie Beer! Dangle a natural ice sculpture in your yard, at school, or leave one as a treat for your neighbors. Just like a snowflake, no two sun catchers are alike. Get creative!",Lori Epstein,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",636,
https://kids.nationalgeographic.com/books/article/almanac-2024,ALMANAC 2024 CHALLENGE: Elephant-stagram,,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1392,"Books, Elephants"
https://kids.nationalgeographic.com/books/article/yoga-animals,Yoga Animals: A Wild Introduction to Kid-Friendly Poses,,Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",525,"Books, Animals"
https://kids.nationalgeographic.com/books/article/sharks-vs-sloths,Sharks vs. Sloths,"In one corner, swinging in ever so slowly, is the chillest dude himself: Sloth! And making a splash in the other corner is Shark, ready to sink her teeth into this competition! Get ready to rumble in this latest installment of the funny face-off series! Check out a sneak peek of the book Sharks Vs. Sloths by Julie Beer.",Unknown,,https://i.natgeofe.com/k/316e4120-36eb-4bf8-9419-2b3fa76e320a/sharks-vs-sloths_cvr.jpg?w=374&h=319,0,"Sharks, Books"
https://kids.nationalgeographic.com/books/article/doggy-defenders-tiger,Doggy Defenders: Tiger the Police Dog,"Meet Tiger, a police dog that keeps people safe. Check out the photo gallery and video below to learn all about this hero dog.",Unknown,,https://i.natgeofe.com/k/f732a307-c429-432a-893f-bf83b54cd8a8/doggy-defenders-tiger8.jpg?w=374&h=210,20,Law Enforcement
https://kids.nationalgeographic.com/books/article/doggy-defenders-stella,Doggy Defenders: Stella the Search Dog,"Meet Stella, a search-and-rescue dog that uses her nose to find lost people. Check out the photos and video, then learn more about this hero dog.",Unknown,,https://i.natgeofe.com/k/2cfa910b-73c5-4387-b2c3-880c8f23d492/doggy-defenders-stella3.jpg?w=374&h=210,21,Law Enforcement
https://kids.nationalgeographic.com/books/article/doggy-defenders-dolley,Doggy Defenders: Dolley the Fire Dog,"Meet Dolley, a fire dog that sniffs out chemicals that might have started fires. Check out the photos and video, then learn more about this hero dog.",Unknown,,https://i.natgeofe.com/k/4fbdeb85-153d-40ac-adf6-e8395b864f09/doggy-defenders-dolley1.jpg?w=374&h=210,19,Law Enforcement
