url,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/celebrations/article/earth-day,History of Earth Day,Celebrate Earth Day with these tips for helping our environment.,Rose Davidson,,https://i.natgeofe.com/k/a64bafab-5f43-4ace-8d97-de2d8b196fcf/save-as-family-recycle.jpg?w=374&h=221,4053,"Environmental Concerns, Climate Change, Pollution"
https://kids.nationalgeographic.com/celebrations/article/spring-celebrations,Spring Celebrations,Find out how people mark the end of winter all over the world.,Rose Davidson,,https://i.natgeofe.com/k/d9fa1dc7-dcb1-4aee-9829-4073c5bb9265/mallard-duck-babies.jpg?w=374&h=210,3543,Spring
https://kids.nationalgeographic.com/celebrations/article/valentines-day,Valentine's Day,Here's why we celebrate friendship on this winter holiday.,Rose Davidson,,https://i.natgeofe.com/k/5fbbabed-daa9-4987-a3d7-56354933b559/valentines-day-textimage_6.jpg?w=374&h=210,2571,Love
https://kids.nationalgeographic.com/celebrations/article/st-patricks-day,St. Patrick's Day,"Check out surprising fact about this holiday (Why DO we wear green, anyway?)",Rose Davidson,,https://i.natgeofe.com/k/21fa63c9-4b61-4ae2-8ea6-b889aa529708/st-patricks-day-textimage_6.jpg?w=374&h=210,3062,People and Culture
https://kids.nationalgeographic.com/celebrations/article/songkran,Songkran,Get the scoop on this splashy spring festival in Thailand.,Rose Davidson,,https://i.natgeofe.com/k/d82e50c9-39f4-4276-9163-d6f626a2c3f3/songkran-textimage_309126046.jpg?w=374&h=210,2143,"Spring, Water"
https://kids.nationalgeographic.com/celebrations/article/hanukkah,Hanukkah,"Lasting eight days, the joyous Jewish holiday celebrates a miracle from more than 2,000 years ago.",Laura Goertzel,,https://i.natgeofe.com/k/16cca253-4615-48c4-bb2c-d873bb2ddce6/Hanukkah_Sufganiyot_KIDS_1122.jpg?w=374&h=274,3048,"Holidays, Winter"
https://kids.nationalgeographic.com/celebrations/article/christmas,Christmas,Learn about the winter holiday celebrated on December 25.,Unknown,,https://i.natgeofe.com/k/dfc7bec2-0657-4887-81a7-6d024a8c3f70/WH-XmasTree.jpg?w=374&h=210,1438,Winter
https://kids.nationalgeographic.com/celebrations/article/kwanzaa,Celebrating Kwanzaa,Learn about this holiday that celebrates Black heritage in the United States as well as African culture.,Sylvia Mphofe,,https://i.natgeofe.com/k/4c656162-51bf-46b2-9b86-e14b05601911/OG_Unity-Candles_Kwanzaa_KIDS_1222.jpg?w=374&h=249,4486,"Winter, African Americans"
https://kids.nationalgeographic.com/celebrations/article/three-kings-day,Three Kings Day,,Unknown,,https://i.natgeofe.com/k/cf563061-bfef-49a7-a794-712806c9e901/WH-3KingsCake.jpg?w=374&h=237,530,"Religion, Winter"
https://kids.nationalgeographic.com/celebrations/article/which-chinese-new-year-animal-are-you-like,Which Lunar New Year animal are you like?,Learn about the animals that inspired the Chinese zodiac signs.,Elizabeth Hilfrank,,https://i.natgeofe.com/k/19fac5f4-4f96-408b-909a-4110e935bd90/chinese_new_year.jpg?w=374&h=249,8902,"Festivals, Animals"
