url,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/explorer-academy/article/cartoon,Brain Freeze,12-year-old Cruz and his friends navigate the mysteries and challenges of the Explorer Academy as they compete for the coveted North Star Award.,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",30,Exploration
https://kids.nationalgeographic.com/explorer-academy/article/the-truth-behind,The Truth Behind,Meet the real National Geographic explorers who helped inspire the science in the book series Explorer Academy. Watch them in action and find out how they’re changing the world through science and adventure in “Explorer Academy: The Truth Behind.”,Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",905,"Explorers, Science and Technology"
https://kids.nationalgeographic.com/explorer-academy/article/trailers,Book Trailers,Watch to learn more about the first two books in the Explorer Academy series.,Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",225,
https://kids.nationalgeographic.com/explorer-academy/article/crack-the-code/,Crack the Code,"In the book Explorer Academy: The Nebula Secret, 12-year-old Cruz Coronado breaks secret codes in order to fight dangerous villains and solve mysteries. Play now to test your cipher-breaking skills! Bonus: Some of the messages will give you clues about the book!",Unknown,,,0,
https://kids.nationalgeographic.com/explorer-academy/article/scavenger-hunt/,Scavenger Hunt,Cruz's Aunt Marisol sends him postcards from around the world with secret messages written in code. You can check them out too! Start the postcard scavenger hunt by following the instructions on the first postcard below. See if you can solve Marisol's codes and unlock a secret about Explorer Academy.,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",573,
https://kids.nationalgeographic.com/explorer-academy/article/code-downloads/,Code Downloads,"In Explorer Academy, 12-year-old Cruz Coronado breaks secret codes in order to fight dangerous villains and solve mysteries. Test your own skills by cracking the codes on this page and look for more cool puzzles in Nat Geo Kids magazine.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",99,"Mysteries, Explorers"
https://kids.nationalgeographic.com/explorer-academy/article/places,Cool Places,"Check out Weird But True facts about the places where Cruz, Sailor, Emmett, Lani, and other Explorer Academy characters come from.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",0,
https://kids.nationalgeographic.com/explorer-academy/article/meet-the-explorers,Dare to Explore,"In the book Explorer Academy: The Nebula Secret, 12-year-old Cruz and his friends attend an elite school where they study to become world-class explorers. Keep reading to meet real-life Nat Geo explorers who inspired some of the action in the book.",C.M. Tomlin,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",6213,"Snakes, Conservationists, Nanotechnology, Books"
https://kids.nationalgeographic.com/explorer-academy/article/undercover-tech,Undercover Tech,Check out the real-life technology that inspired the supercool stuff in the book.,Jamie Kiffel-Alcheh,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",6206,Heart
https://kids.nationalgeographic.com/explorer-academy/article/trudi-trueit,Meet the Author,"Trudi Trueit is the author of the Explorer Academy series. She's written more than a hundred books for young readers, both fiction and nonfiction. Read more about her below, plus the first of four interviews with the writer. (Click here for part two, part three, and part four of our chat.)",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",4052,Books
