url,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/history/article/independence-day,Independence Day,Get the scoop on why we celebrate the Fourth of July!,Rose Davidson,,https://i.natgeofe.com/k/aaa59cb9-67e2-4c85-807c-5b405777d416/independence-day-fireworks.jpg?w=374&h=210,3107,"History and Civilization, Holidays, U.S. Presidents, American Revolution"
https://kids.nationalgeographic.com/history/article/endangered-species-act,Endangered Species Act,How this 1973 law protects animals,Elizabeth Hilfrank,,https://i.natgeofe.com/k/2e173b90-64a2-4ea2-b335-d9df7e4deeea/comback-critter-florida-manatee.jpg?w=374&h=249,7151,"Modern History, Endangered Species"
https://kids.nationalgeographic.com/history/article/womens-suffrage-movement,The Women's Suffrage Movement,Getting the right to vote didn't come easy for women. Here's how they got it done.,Elizabeth Hilfrank,,https://i.natgeofe.com/k/94588226-102a-4e1a-af13-9b1b358ef584/white-house-protest2.jpg?w=374&h=210,8957,Civil Rights
https://kids.nationalgeographic.com/history/article/the-road-to-school-desegregation,The road to school desegregation,"For years, many public schools separated children based on their race. Here’s how that changed so that kids of all races could go to school together.",Tonya K. Grant,,https://i.natgeofe.com/k/2fcb3bd8-f358-475a-a7b8-4f8d01569bf8/Ruby_Desegregation_KIDS_0122.jpg?w=374&h=249,6771,"Discrimination, Schools"
https://kids.nationalgeographic.com/history/article/history-of-the-national-parks,National Parks,,Andrea Silen,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2717,"History and Civilization, Hiking"
https://kids.nationalgeographic.com/history/article/remembering-september-11,Remembering September 11,Learn how this historic day in 2001 changed the lives of those living in the United States—and around the world.,Kay Boatner,,https://i.natgeofe.com/k/b9f43984-f979-4e8f-b057-bd1a7a65bb21/Memorial-Lights_911_KIDS_0821.jpg?w=374&h=248,10510,"Rescue Work, Modern History, Governments"
https://kids.nationalgeographic.com/history/article/heroes-of-911,Heroes of 9/11,,Kay Boatner,,https://i.natgeofe.com/k/2df30077-c028-455a-ac58-3055e1e696d0/Dog_Ground-Zero_911_KIDS_0821.jpg?w=374&h=221,6198,"Fire Fighting, Rescue Work, Modern History"
https://kids.nationalgeographic.com/history/article/womens-history-month,Women's History Month,"Every March, people in the United States celebrate the achievements and history of women as part of Women’s History Month.",Kay Boatner,,https://i.natgeofe.com/k/b2b910d1-df1d-454e-be80-37d9e3c3fc22/whm-1-votes.jpg?w=374&h=246,2736,"People and Culture, Activism, Protest, Discrimination, Human Rights, Gender, Women, Modern History"
https://kids.nationalgeographic.com/history/article/the-women-codebreakers-of-world-war-ii,The women codebreakers of World War II,"How more than 10,000 women worked with the U.S. military to help end the war",Maya Wei-Haas,,https://i.natgeofe.com/k/3cd6f16e-6d9a-4752-a73a-e65e91e342c3/OG_Cryptanalytic-Machine_Code-Breakers_KIDS_0322.jpg?w=374&h=243,7859,Women
https://kids.nationalgeographic.com/history/article/albert-einstein,Albert Einstein,This brilliant physicist worked to crack open the mysteries of the universe. Check out the time line below to learn about the life of this legend.,Andrea Silen,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1250,"Biography, Science and Technology, Physical Sciences, Physics"
