url,category,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-festivals-are-fantastic,5-reasons-why,5 reasons why festivals are fantastic,"Whether you’re in South Korea, Spain, or the Netherlands, there’s always a reason to celebrate! Check out five amazing festivals from around the world.",Unknown,,https://i.natgeofe.com/k/3f27321c-f4a4-4cf4-b010-23b66f15503c/5-reasons-festival.jpg?w=374&h=249,1610,
https://kids.nationalgeographic.com/magazine/article/sneak-peek-august-2025,magazine,Check out the issue!,"Join this undersea party with sharks! From curious great white sharks to seagrass snacking bonnetheads (relatives of hammerheads) to gentle—and giant!—whale sharks, the more than 500 species of sharks are full of surprises. In this issue, you'll meet seven species with amazing attributes before playing a personality quiz to discover which shark would be your bestie. Can't get enough shark stuff? Grab a parent and check out SharkFest on Disney+ starting July 6.",Unknown,,https://i.natgeofe.com/k/0202ff52-f5a2-4a56-b8c9-e063d7d1cbb6/Aug25-Sneak-Peek.jpg?w=374&h=249,896,
https://kids.nationalgeographic.com/history/article/independence-day,history,Independence Day,Get the scoop on why we celebrate the Fourth of July!,Rose Davidson,,https://i.natgeofe.com/k/aaa59cb9-67e2-4c85-807c-5b405777d416/independence-day-fireworks.jpg?w=374&h=210,3107,"History and Civilization, Holidays, U.S. Presidents, American Revolution"
https://kids.nationalgeographic.com/history/article/endangered-species-act,history,Endangered Species Act,How this 1973 law protects animals,Elizabeth Hilfrank,,https://i.natgeofe.com/k/2e173b90-64a2-4ea2-b335-d9df7e4deeea/comback-critter-florida-manatee.jpg?w=374&h=249,7151,"Modern History, Endangered Species"
https://kids.nationalgeographic.com/homework-help/article/how-to-write-an-animal-report,homework-help,How to write an animal report,,Unknown,,https://i.natgeofe.com/k/f577bdbf-37a2-4e6d-a412-e59a4d61037a/beluga-face.jpg?w=374&h=249,2764,"Animals, Research"
https://kids.nationalgeographic.com/5-reasons-why/article/5-reasons-why-summer-is-cool,5-reasons-why,5 reasons why summer is cool,Hooray for summer! Find out why this sunny season deserves a warm welcome.,Unknown,,https://i.natgeofe.com/k/a3ed2cef-5c51-42f5-a81a-438db596fd9e/5-reasons-summer.jpg?w=374&h=249,1678,
https://kids.nationalgeographic.com/history/article/womens-suffrage-movement,history,The Women's Suffrage Movement,Getting the right to vote didn't come easy for women. Here's how they got it done.,Elizabeth Hilfrank,,https://i.natgeofe.com/k/94588226-102a-4e1a-af13-9b1b358ef584/white-house-protest2.jpg?w=374&h=210,8957,Civil Rights
https://kids.nationalgeographic.com/nature/article/world-oceans-day,nature,World Oceans Day,,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",355,
https://kids.nationalgeographic.com/history/article/the-road-to-school-desegregation,history,The road to school desegregation,"For years, many public schools separated children based on their race. Here’s how that changed so that kids of all races could go to school together.",Tonya K. Grant,,https://i.natgeofe.com/k/2fcb3bd8-f358-475a-a7b8-4f8d01569bf8/Ruby_Desegregation_KIDS_0122.jpg?w=374&h=249,6771,"Discrimination, Schools"
https://kids.nationalgeographic.com/moment-of/article/moment-of-fresh-water,moment-of,Moment of Fresh Water,,Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",113,"Fresh Water, Freshwater fish, Animals, American alligators, Amazon river dolphins, Turtles, Lake sturgeon, Salamanders, Beetles"
https://kids.nationalgeographic.com/animals/birds/article/superb-owls,unknown,Superb owls,"From extra-fluffy fliers to chatty chirpers, these owls are utterly outstanding.",Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2367,Photography
https://kids.nationalgeographic.com/moment-of/article/moment-of-penguin,moment-of,Moment of Penguin,Crazy “hairdos” and funny personalities are only a couple of the things that make penguins more than just black-and-white birds. Check out this photo gallery of the world’s 18 penguin species.,Ruth A. Musgrave,"January 6, 2023","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",15,Photography
https://kids.nationalgeographic.com/wacky-weekend/article/strange-birds,wacky-weekend,Wacky Weekend: Strange Birds,"This is definitely for the birds! Our feathered friends come in lots of different shapes, sizes, and colors. Take a gander at the photo gallery below to see some of the weirdest winged creatures ever caught on camera!",Unknown,,https://i.natgeofe.com/k/728ecc16-b26b-4197-8efc-7b1e2abef0f2/ww-birds-king-vulture.jpg?w=374&h=210,58,
https://kids.nationalgeographic.com/nature/article/vultures,nature,Vultures are Gross-ly Important,"Vultures may be gross, but they play an important role in the ecosystem.",Jed Winer,,https://i.natgeofe.com/k/f88c01a8-95ee-420a-a6e4-7128c0e316aa/vulture-cape-griffon.jpg?w=374&h=210,2618,Bacteria
