url,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/pages/article/how-to-keep-your-pets-safe-on-halloween,Keep your pets safe on Halloween,"How to make sure your furry family members have a ""spook-tacular"" holiday",Allyson Shaw,,https://i.natgeofe.com/k/16622d44-acac-4bc3-9b62-c34be5943676/Halloweenpettips1.png?w=374&h=249,1357,Pets
https://kids.nationalgeographic.com/pages/article/which-pet-to-choose,Which pet to choose?,,Unknown,,https://i.natgeofe.com/k/3009bace-9daf-4c82-9e60-cb9a48c2c99d/which-pet-cat.jpg?w=374&h=250,2702,
https://kids.nationalgeographic.com/pages/article/photo-tips-pet-photography,Photo Tips: Perfect Pet Portraits,,Unknown,,https://i.natgeofe.com/k/2a6df74f-3d4a-4800-afdf-675edb156a49/pet-phototips-1.jpg?w=374&h=210,2729,Pets
https://kids.nationalgeographic.com/pages/article/treasure-hunt,Treasure Hunt,"Create a treasure hunt for your friends, or share this activity with your parents and teachers.",Unknown,,https://i.natgeofe.com/k/f01ed846-1f90-4512-8e90-2a12d48fcfe1/treasure-hunt.jpg?w=374&h=210,1187,
https://kids.nationalgeographic.com/pages/article/awesome-outdoor-shots,Take awesome outdoor shots,"The outdoors is one photo studio everyone can use! To help you get your best shots while you're out exploring nature, we've asked wildlife photographer Gabby Salazar to share a few photo secrets.",Gabby Salazar,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1528,"Photography Tips, Exploration"
https://kids.nationalgeographic.com/pages/article/koala-mittens,Koalas wear mittens,,Allyson Shaw,,https://i.natgeofe.com/k/b786f4b1-0379-47bb-8e39-e017dc79b4b8/amazing-animals-koala-mittens.jpg?w=374&h=304,1366,Fire
https://kids.nationalgeographic.com/pages/article/beach-party,Beach Party,"Ponies swim from one island to another in Chincoteague Island, Virginia.",Laura Daily,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",984,"Wildlife, Mammals, Horse, Animal Behavior, Animal Migration"
https://kids.nationalgeographic.com/pages/article/bear-necessities,未找到标题,A fake bear fools hunters in Florida.,Robin Terry,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1055,"Mammals, Bears, American black bears, Environment"
https://kids.nationalgeographic.com/pages/article/beavers-busted,未找到标题,"Some beavers build a dam from unexpected materials St. Helena Parish, Louisiana.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1335,"Mammals, Rodents, Beaver"
https://kids.nationalgeographic.com/pages/article/being-pushy,未找到标题,"A tiny turtle pushes a baby stroller Arlington Heights, Illinois.",Robin Terry,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",1105,
https://kids.nationalgeographic.com/pages/article/cat-walk,未找到标题,"A cat walked hundreds of miles to find its way home in Hibbing, Minnesota.",Robin Terry,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1373,
https://kids.nationalgeographic.com/pages/article/duck-duck-oops,未找到标题,"A mother duck saves her eight ducklings in Vancouver, Canada.",Robin Terry,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",1169,Animals
https://kids.nationalgeographic.com/pages/article/fast-food,未找到标题,"A clever sea lion has a salmon feast in Bonneville Dam, Oregon.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1296,"Sea Lions, Salmon"
https://kids.nationalgeographic.com/pages/article/firefighting-fish,未找到标题,"A brave betta fish battles flames in Eagan, Minnesota.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",1014,Fish
https://kids.nationalgeographic.com/pages/article/gold-star,未找到标题,"A ferret competes in animal competitions in Springfield, Oregon.",Laura Daily,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1166,"Mammals, Animal Behavior"
https://kids.nationalgeographic.com/pages/article/grand-opening,未找到标题,"An octopus named Frieda in Munich, Germany, can open glass jars.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1015,
https://kids.nationalgeographic.com/pages/article/healing-hooves,未找到标题,"A pony surprises hospital patients in Akron, Ohio.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",1227,"Mammals, Horse"
https://kids.nationalgeographic.com/pages/article/honk-if-you-love-flying,未找到标题,"Bubbles the Canada goose from Linderwood, North Dakota, has a special flight pattern.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1219,Animals
https://kids.nationalgeographic.com/pages/article/horse-hero,未找到标题,"Goodbar the miniature horse helps a frightened canine in Ada, Michigan.",Robin Terry,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1301,
https://kids.nationalgeographic.com/pages/article/kangaroo-surprise,Kangaroo Surprise,This mysterious kangaroo showed up in Wisconsin farm country.,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1240,
https://kids.nationalgeographic.com/pages/article/lamb-post,Lamb Post,A playful lamb pals around with a sheepdog.,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1123,"Pets, Mammals, Domestic dogs, Sheep"
https://kids.nationalgeographic.com/pages/article/llama-drama,Llama Drama,A protective llama guards his owner.,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1244,"Mammals, Llama"
https://kids.nationalgeographic.com/pages/article/lost-and-found,Lost and Found,An injured dog gets himself to the hospital.,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1059,"Mammals, Domestic dogs, Pets"
https://kids.nationalgeographic.com/pages/article/monkey-see-monkey-do,未找到标题,"Ayla the capuchin monkey lends a helping hand in Boston, Massachusetts.",Kristin Baird Rattini,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1355,
https://kids.nationalgeographic.com/pages/article/mortal-wombat,未找到标题,"An abandoned wombat is rescued in San Diego, California.",Laura Daily,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",1216,"Mammals, Marsupials, Wombat"
