url,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/science/article/all-charged-up-wiggly-water,All Charged Up: Wiggly Water,A simple experiment to see electricity in action,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",606,
https://kids.nationalgeographic.com/science/article/make-a-weather-station,Make a Weather Station,The instruments you'll need to build your own weather station,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1319,
https://kids.nationalgeographic.com/science/article/make-a-groovy-lava-lamp,Make a Groovy Lava Lamp,,Hilary Andrews,,https://i.natgeofe.com/k/5570f333-c0fe-431e-bb57-9142c4a384b3/food-coloring-medium-2.gif?w=374&h=281,1223,
https://kids.nationalgeographic.com/science/article/rock-on,Rock On,Try this experiment to find out the differences in the composition of rocks.,David George Gordon,,https://i.natgeofe.com/k/b5af7489-72ef-4d35-be08-4ae619a90d06/rock-on.jpg?w=374&h=210,670,
https://kids.nationalgeographic.com/science/article/eggs-periments-bottled-egg,Bottled Egg Trick,,Unknown,,https://i.natgeofe.com/k/e8186131-18cb-45c8-aad7-eb24e640642e/eggs-wire-basket.jpg?w=374&h=210,1137,
https://kids.nationalgeographic.com/science/article/make-clouds-in-a-bottle,未找到标题,Follow these steps to make rain clouds in a bottle!,MATTHEW RAKOLA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2488,
https://kids.nationalgeographic.com/science/article/sounds-great--bottled-music,Bottled Music,Learn how to make a musical instrument using glass bottles filled with water.,Unknown,,https://i.natgeofe.com/k/d3a5b383-0ee4-41d7-a531-6589a46d499b/bottled-music.jpg?w=374&h=210,560,Music
https://kids.nationalgeographic.com/science/article/eggs-periments-balancing-egg,Balancing Egg Science Experiment,Try this simple eggs-periment (see what we did there?) to learn about salt crystals.,Unknown,,https://i.natgeofe.com/k/dbde9ae4-320c-45ec-ba1c-1fad44278578/eggs-bowl.jpg?w=374&h=210,955,
https://kids.nationalgeographic.com/science/article/facts-about-coronavirus,Facts about coronavirus,What kids need to know,C.M. Tomlin,"July 21, 2021",https://i.natgeofe.com/k/815a5b2c-cab4-4fa5-99eb-32d5d058f291/kid-washing-hands.jpg?w=374&h=249,5389,"Vaccination, Bacteria, Immune System, Schools"
https://kids.nationalgeographic.com/science/article/coronavirus-glossary,Coronavirus glossary,Get definitions of unfamiliar words you may be hearing during the coronavirus pandemic.,Laura Goertzel,"July 21, 2021","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",5155,"Bacteria, Immune System, Vaccination, DNA"
https://kids.nationalgeographic.com/science/article/daylight-saving-time,Daylight saving time,"Why do we ""fall back?""",Sara Zeglin,,https://i.natgeofe.com/n/da767ca9-5cce-4446-98b1-6b7935c9add0/dst5.gif?w=374&h=249,1291,
https://kids.nationalgeographic.com/science/article/climate-change,Climate change,What is climate change? What could happen? Get all the facts you need to know.,Allyson Shaw,,https://i.natgeofe.com/k/6d6ee5ff-e749-47dd-80c2-ed1158aa259c/climatechange-polarbear.jpg?w=374&h=249,5833,
https://kids.nationalgeographic.com/science/article/declincing-biodiversity,Declining biodiversity,Plants and animals depend on each other for survival. Find out why this biodiversity is so important—and why it's in trouble.,Allyson Shaw,,https://i.natgeofe.com/k/7bbb8a81-1732-4746-8aaa-15bf3a379b58/green-sea-turtle-closeup-underwater.jpg?w=374&h=210,2310,
