url,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/wacky-weekend/article/strange-birds,Wacky Weekend: Strange Birds,"This is definitely for the birds! Our feathered friends come in lots of different shapes, sizes, and colors. Take a gander at the photo gallery below to see some of the weirdest winged creatures ever caught on camera!",Unknown,,https://i.natgeofe.com/k/728ecc16-b26b-4197-8efc-7b1e2abef0f2/ww-birds-king-vulture.jpg?w=374&h=210,58,
https://kids.nationalgeographic.com/wacky-weekend/article/animal-costumes,Wacky Weekend: Animal Costumes,Humans aren't the only ones dressing up for Halloween. Dogs and cats are trick-or-treating as well! Check out animals wearing wacky costumes in the photo gallery below.,Unknown,,https://i.natgeofe.com/k/68793d30-a175-43e2-95c8-4a4383044a2c/ww-animal-costumes-woody.jpg?w=374&h=210,79,"Fall, Emotions"
https://kids.nationalgeographic.com/wacky-weekend/article/zany-pets,Wacky Weekend: Zany Pets,"Pets can do some pretty funny things! Check out the household animals getting a little silly in the photo gallery below. (These pets like being wacky, but yours may not. Never force your pet to do something it does not want to do.)",Unknown,,https://i.natgeofe.com/k/c1bfd215-d6fc-4bb4-993a-3a516be571b1/ww-pets-parrot.jpg?w=374&h=210,44,"Pets, Felids, Domestic dogs, Animal Training"
https://kids.nationalgeographic.com/wacky-weekend/article/chocolate-concoctions,Wacky Weekend: Chocolate Concoctions,"No bronze or marble here! Chocolate is the tasty material used to create these sculptures of animals, people, clothing, and more.",Laura Goertzel,,https://i.natgeofe.com/k/f7ead406-f388-41d7-b6c8-1b25e9edde89/Train_Chocolate-Gallery_KIDS_0123.jpg?w=374&h=249,0,"Visual Arts, Arts"
https://kids.nationalgeographic.com/wacky-weekend/article/hearts-in-nature,Wacky Weekend: Hearts in Nature,"Earth’s valentines can be found all over, from Spain to the Solomon Islands. Take a look at the birds, plants, and other things with heart shapes in the photo gallery below!",Unknown,,https://i.natgeofe.com/k/835f548d-14b5-435f-880d-c09af8149dd9/ww-hearts-nature-pebbles.jpg?w=374&h=210,45,"Love, Heart"
https://kids.nationalgeographic.com/wacky-weekend/article/snow-sculptures,Wacky Weekend: Snow Sculptures,"Snowmen are cool and all, but you can create lots of things with frozen flakes—like these brr-illiant snow sculptures. Check out the photo gallery below before it melts!",Unknown,,https://i.natgeofe.com/k/a2a50d85-2360-44b4-9f54-35b9f9beebff/ww-snow-sculptures-horses.jpg?w=374&h=210,42,"Sculpture, Arts, Winter, Weather"
https://kids.nationalgeographic.com/wacky-weekend/article/eye-popping-lights,Wacky Weekend: Eye-Popping Lights,Talk about bright ideas! Check out the photo gallery below for dazzling light displays from around the world.,Unknown,,https://i.natgeofe.com/k/2c76ed01-a942-4e1d-87c5-2d808265b502/ww-light-displays-ice-castle.jpg?w=374&h=210,32,Light
https://kids.nationalgeographic.com/wacky-weekend/article/chocolate-creations,Wacky Weekend: Chocolate Creations,Most people probably just think of chocolate as a tasty treat—but others see it as art! Check out the sweet chocolate creations in the photo gallery below.,Unknown,,https://i.natgeofe.com/k/6e2017c5-21d8-4a38-95b9-2cf11f3cc5ed/ww-chocolate-creations-yoda.jpg?w=374&h=210,44,
https://kids.nationalgeographic.com/wacky-weekend/article/crazy-gingerbread-creations,Wacky Weekend: Gingerbread Creations,You probably won’t see these extreme gingerbreads on your holiday table. Check out the jaw-dropping gingerbread structures in the photo gallery below.,Unknown,,https://i.natgeofe.com/k/10fa3ff0-75cf-4646-b459-5adb3fc741ff/ww-gingerbread-sphinx.jpg?w=374&h=210,48,Holidays
https://kids.nationalgeographic.com/wacky-weekend/article/upside-down-animals,Wacky Weekend: Upside-Down Animals,"These animals are really shaking things up—by flipping themselves upside down! Check out the wacky poses of giant pandas, harp seals, and chimpanzees in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/d7f476fe-713d-41a7-b41c-270e5e5e3c23/ww-upside-down-animals-chimpanzee.jpg?w=374&h=210,68,
https://kids.nationalgeographic.com/wacky-weekend/article/ugly-foods,"Wacky Weekend: ""Ugly"" Foods","Don’t toss that tomato just because it’s not perfect! Usually an ""ugly"" fruit or vegetable tastes just as good. Check out the unusual looks of the foods in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/20ebe5b5-a4ac-4f5b-b832-f67bfb82afd9/ww-ugly-foods-apple.jpg?w=374&h=210,35,"Fruit, Vegetables"
https://kids.nationalgeographic.com/wacky-weekend/article/baby-animals-1,Wacky Weekend: Baby Animals,"In need of your daily dose of cute? Look no further! Check out the flamingos, camels, giant pandas, and other adorable baby animals in these photos.",Unknown,,https://i.natgeofe.com/k/1da46971-9055-4f98-bad0-629af24e557a/ww-baby-animals-elephant.jpg?w=374&h=210,38,
https://kids.nationalgeographic.com/wacky-weekend/article/ghostly-animals,Wacky Weekend: Ghostly Animals,"Nope, these aren’t actually ghosts! They’re animals with rare conditions that affect their natural pigment, or coloration, so that they’re white. Check out bats, gorillas, alligators, and other eerily odd animals in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/8d6da034-78a3-4ebe-9757-f3040469d870/ww-ghostly-animals-squirrel.jpg?w=374&h=210,41,"Emotions, Animals"
https://kids.nationalgeographic.com/wacky-weekend/article/wild-cats,Wacky Weekend: Wild Cats,"Here’s something to meow about: The world is home to 37 different kinds of wild cats. Check out some of the fantastic felines—like the jaguar, lion, and leopard—in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/02aad54b-bcd8-4a3a-8659-f08bb98b1a01/ww-wild-cats-lion.jpg?w=374&h=210,48,"Wildlife, Animals"
https://kids.nationalgeographic.com/wacky-weekend/article/pumpkin-carvings,Wacky Weekend: Pumpkin Carvings,You might not be the only one wearing cool costumes this Halloween. Pumpkins are getting dressed up too! Check out these incredible carved creations.,Unknown,,https://i.natgeofe.com/k/8ebe1f6b-4994-45c0-b5d7-60e8581680b1/ww-pumpkin-carvings-smile.jpg?w=374&h=210,29,"Fall, Emotions"
https://kids.nationalgeographic.com/wacky-weekend/article/animal-eyes,Wacky Weekend: Animal Eyes,"No, nothing’s wrong with your vision—these animals’ eyes are just incredibly weird! Take a look at the amazing eyes of the peacock mantis shrimp, red-eyed tree frog, and other animals in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/91bf9458-a832-4000-bde6-6f1945ed77ac/ww-animal-eyes-mantis-shrimp.jpg?w=374&h=210,43,Eye
https://kids.nationalgeographic.com/wacky-weekend/article/animal-artists,Wacky Weekend: Animal Artists,"With the help of zookeepers and nontoxic paint supplies, animals let their creativity run wild. Check out an Asian elephant, a sea lion, and other artistic creatures in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/81089840-6c91-442a-99f1-16bb8b1189c5/ww-animal-artists-elephant.jpg?w=374&h=210,60,Arts
https://kids.nationalgeographic.com/wacky-weekend/article/prickly-critters,Wacky Weekend: Prickly Critters,"Whether they’re defending themselves from predators or attracting mates, these animals definitely have one feature in common: their spikes! Take a look at the porcupine, sage grouse, and other prickly critters in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/f502e00a-5158-4322-a451-4afe0870327b/ww-prickly-critters-spotted-porcupinefish.jpg?w=374&h=210,61,
https://kids.nationalgeographic.com/wacky-weekend/article/real-life-pokemon,Wacky Weekend: Real-Life Pokémon,"You’ve met the characters—now meet the real-world animals behind some of your favorites from Pokémon GO. Take a look at the platypus, beetle, and other Pokémon look-alikes in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/8c8ad9fd-511e-4b52-81a8-bfef6ced4b9d/ww-pokemon-vileplume.jpg?w=374&h=210,39,Animals
https://kids.nationalgeographic.com/wacky-weekend/article/rides-and-waterslides,Wacky Weekend: Rides and Waterslides,"You know what summer means—it’s amusement park season! Take a look at the awesome roller coasters, waterslides, and other fun rides from around the world in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/c3150458-1ed1-42a8-a34b-f370162fd6c6/ww-rides-slides-alpenexpress-coastiality-germany.jpg?w=374&h=210,67,
https://kids.nationalgeographic.com/wacky-weekend/article/animal-athletes,Wacky Weekend: Animal Athletes,"Cycling, skateboarding, bodysurfing ... these sporty critters can do it all! Check out the pigs, elephant, and other surprising animal athletes in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/d23053c8-70d9-4712-9eed-91b2e6382ab5/ww-animal-athletes-hares.jpg?w=374&h=210,52,Sports
https://kids.nationalgeographic.com/wacky-weekend/article/sand-sculptures,Wacky Weekend: Sand Sculptures,"Beaches aren’t just for sunbathing and swimming—they’re great places to build sand castles! Check out the dinosaur, fish, and other incredible sand sculptures in the photo gallery below for inspiration.",Unknown,,https://i.natgeofe.com/k/2543305a-b021-4028-951e-33a7d69455b8/ww-sand-sculptures-dog.jpg?w=374&h=210,41,Sand
https://kids.nationalgeographic.com/wacky-weekend/article/animal-ears,Wacky Weekend: Animal Ears,"These creatures are all ears! Check out the incredible listening devices of the jackrabbit, caracal, fennec fox, and other animals in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/b183e68a-a1be-4dcf-9981-7cd5fe216517/ww-animal-ears-basset-hound.jpg?w=374&h=210,49,Body
https://kids.nationalgeographic.com/wacky-weekend/article/bizarre-boats,Wacky Weekend: Bizarre Boats,"Anchors away! Take to the waves with the totally decked-out boats from Australia, South Africa, India, and other countries in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/1c88a7ed-c99a-4517-8797-451af8c51e97/ww-boats-soccer-ball-south-africa.jpg?w=374&h=210,36,
https://kids.nationalgeographic.com/wacky-weekend/article/animal-markings,Wacky Weekend: Animal Markings,"Sometimes the colors and shapes on an animal’s body can give it a unique look. Check out these photos of cats, dogs, and other animals with bizarre markings!",Unknown,,https://i.natgeofe.com/k/6a95fb73-0c1e-4d14-a31b-98eba78b0721/ww-funny-animal-markings-cow-mouse.jpg?w=374&h=210,50,
https://kids.nationalgeographic.com/wacky-weekend/article/animal-dads,Wacky Weekend: Animal Dads,"Lions, seahorses, and emperor penguins are just some of the animals that make incredible dads. Check out eight fantastic fathers in action in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/96b7b76e-cd1c-42bd-96cc-1d2f3193a496/ww-animal-dads-marmoset.jpg?w=374&h=210,32,Family Life
https://kids.nationalgeographic.com/wacky-weekend/article/zany-zoo-fun,Wacky Weekend: Zany Zoo Fun,"To keep animals from getting bored, zookeepers around the world give animals unusual items to interact with. Check out these photos that show how critters such as orangutans, tigers, and giant pandas get to have fun at the zoo.",Unknown,,https://i.natgeofe.com/k/8d1ef72b-81af-44ba-8a5c-ae8d26a56130/ww-zany-zoo-fun-polar-bear-north-carolina.jpg?w=374&h=210,55,Animals
https://kids.nationalgeographic.com/wacky-weekend/article/weird-waters,Wacky Weekend: Weird Waters,"Discover the strange waters of Colombia, Thailand, and Spain when you dive into the images of rivers, lakes, and other splashy spots in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/e002761e-c5ae-4692-820a-7c5b6bd661ff/ww-weird-waters-lake-natron.jpg?w=374&h=210,25,"Rivers, Lakes"
https://kids.nationalgeographic.com/wacky-weekend/article/hilarious-hotels,Wacky Weekend: Hilarious Hotels,"Take a virtual trip to Sweden, Tanzania, Mexico, and more to see some of the most bizarre hotels around the world in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/867bb8d0-34b7-42b0-9d7b-5df615e6d4d4/ww-hotels-manta-resort-tanzania.jpg?w=374&h=210,29,Hotels
https://kids.nationalgeographic.com/wacky-weekend/article/african-animals,Wacky Weekend: African Animals,"Get to know giraffes, springboks, and other amazing animals that call the African continent home.",Unknown,,https://i.natgeofe.com/k/08020b95-eaa1-4b5c-b624-b76e84455c5f/ww-african-animals-baboons.jpg?w=374&h=210,50,"Hippopotamus, Pangolins, Giraffe, Baboons, Meerkat, Gray crowned cranes, Elephant Shrew"
https://kids.nationalgeographic.com/wacky-weekend/article/primates,Wacky Weekend: Primates,"These awesome animals are letting it all hang out. Get the facts on mountain gorillas, orangutans, spider monkeys, and other primates in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/8e488687-43e6-4e5a-ae03-ed2ec127d8c5/ww-primates-macaques.jpg?w=374&h=210,21,"Apes, Monkeys"
https://kids.nationalgeographic.com/wacky-weekend/article/flower-fake-outs,Wacky Weekend: Flower Fake-Outs,"These aren’t your ordinary flowers. Check out bizarre blooms that look like animals, movie characters, and more in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/ce4d9328-feff-4b91-8cc1-083fae2f8bbf/ww-flowers-bleeding-hearts.jpg?w=374&h=210,53,Flowers
https://kids.nationalgeographic.com/wacky-weekend/article/asian-animals,Wacky Weekend: Asian Animals,Maybe you’ve heard of Asian elephants and sun bears—but what in the world is a colugo? Or a siamang? Get fun facts about these and other Asian animals in the wow-worthy photo gallery below.,Unknown,,https://i.natgeofe.com/k/c92e09f9-5775-43b8-bd57-80993c148374/ww-asian-animals-long-nosed-whip-snake.jpg?w=374&h=210,66,
https://kids.nationalgeographic.com/wacky-weekend/article/frogs,Wacky Weekend: Frogs,"There are more than 4,000 species of frogs—and some of them are pretty freaky! Hop to it and check out the ribbit-ing photos of these totally awesome amphibians in the gallery below.",Unknown,,https://i.natgeofe.com/k/d6facd7c-a5f6-45bd-bfc4-5cb3d0461778/ww-frogs-tiger-striped-leaf.jpg?w=374&h=210,18,Frogs
https://kids.nationalgeographic.com/wacky-weekend/article/hidden-animals,Wacky Weekend: Hidden Animals,Don’t be fooled by these crafty masters of camouflage—see if you can spot the animals hidden in these photos. Can’t find them? Read the captions in the photo gallery below to find out which creatures are highlighted inside the images.,Unknown,,https://i.natgeofe.com/k/4518778a-d1f5-4df9-8781-802f634585f2/ww-camouflage-katydid.jpg?w=374&h=210,43,Camouflage
https://kids.nationalgeographic.com/wacky-weekend/article/reptiles,Wacky Weekend: Reptiles,Ready to slither into the supercool world of reptiles? Check out the bizarre cold-blooded creatures in the photo gallery below.,Unknown,,https://i.natgeofe.com/k/7d332ddc-d007-481c-8b81-bf869786ab81/ww-reptiles-african-bush-viper.jpg?w=374&h=210,37,
https://kids.nationalgeographic.com/wacky-weekend/article/kooky-furniture,Wacky Weekend: Kooky Furniture,"Furniture doesn’t have to be a snooze. Check out the crazy couches, chairs, and tables in the photo gallery below!",Unknown,,https://i.natgeofe.com/k/47428edd-7452-44bb-8d75-e7b07a0d7b78/ww-furniture-ice-chair-footrest.jpg?w=374&h=210,48,
https://kids.nationalgeographic.com/wacky-weekend/article/animals-of-madagascar,Wacky Weekend: Animals of Madagascar,"Madagascar, an island country off the coast of Africa, is a hot spot for amazingly diverse animals. Check out ring-tailed lemurs, chameleons, insects, and other awesome animals that call the island home in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/a6179f30-8747-47f9-a2ff-6916b13de70d/ww-madagascar-animals-flatid-leaf-bugs.jpg?w=374&h=210,53,Biodiversity
https://kids.nationalgeographic.com/wacky-weekend/article/nifty-noses,Wacky Weekend: Nifty Noses,"In the animal kingdom, not all noses are created equal. Some noses are so ugly they're cute! Check out the superb sniffers in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/16672485-0e67-43f9-9312-82963263e5bd/ww-noses-rhinoceros-viper.jpg?w=374&h=210,54,Nose
https://kids.nationalgeographic.com/wacky-weekend/article/far-out-fashion,Wacky Weekend: Far-Out Fashion,"Funny fashion isn’t just for pets on Halloween. People wear some pretty wild looks too. Check out photos of bizarre hats, hairstyles, and more in the gallery below.",Unknown,,https://i.natgeofe.com/k/15e4b80f-7b5c-4525-816a-da3b621e7a4c/ww-fashion-tea-hats.jpg?w=374&h=210,72,
https://kids.nationalgeographic.com/wacky-weekend/article/animal-friendships,Wacky Weekend: Animal Friendships,"A cheetah and a dog, an ox with a pig—no matter the match, these photos of unexpected animal friendships will melt your heart. Check out the photo gallery below.",Unknown,,https://i.natgeofe.com/k/3a6114f2-4a36-4f12-bd88-37ce5ceca323/ww-animal-friendships-cat-deer.jpg?w=374&h=211,42,Animal Friends
https://kids.nationalgeographic.com/wacky-weekend/article/strange-nature,Wacky Weekend: Strange Nature,"These photos are so far-out, it’s hard to believe they were taken here on Earth! Take a look at the strange nature pictures in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/11a219e4-a166-425b-87d7-d14958a3aa74/ww-nature-wave-arizona.jpg?w=374&h=210,40,Environment
https://kids.nationalgeographic.com/wacky-weekend/article/goofy-growers,Wacky Weekend: Goofy Growers,"You probably haven’t seen all of these bizarre plants and fungi in your yard, but maybe they’ll grow on you. Check out some freaky nature in the photo gallery below.",Rose Davidson,,https://i.natgeofe.com/k/968f4185-7394-4903-a8bf-a7cad0734e9f/ww-goofy-growers-birds-nest-fungus.jpg?w=374&h=210,14,"Fungi, Trees"
https://kids.nationalgeographic.com/wacky-weekend/article/animal-hairdos,Wacky Weekend: Animal Hairdos,Ever had a bad hair day? Then you might relate to some of these animals! Take a look at the hilarious animal dos in the photo gallery below.,Unknown,,https://i.natgeofe.com/k/e10bcd27-6080-43ba-9f83-da306f3add7e/ww-animal-hairdos-tamarin.jpg?w=374&h=210,46,"Mammals, Fur"
https://kids.nationalgeographic.com/wacky-weekend/article/freaky-sea-creatures,Wacky Weekend: Freaky Sea Creatures,Dive in with the supremely strange ocean animals in the photo gallery below.,Unknown,,https://i.natgeofe.com/k/edd8fbc9-aa14-48c5-a363-73c9cf8d228b/ww-sea-creatures-sea-pens.jpg?w=374&h=210,47,"Oceans, Fish, Crustaceans, Invertebrates, Mollusks"
https://kids.nationalgeographic.com/wacky-weekend/article/supersize-sculptures,Wacky Weekend: Supersize Sculptures,"Giant sculptures bring a quirky, playful vibe to cities around the world. Check out the photo gallery below to see some of the larger-than-life sights.",Unknown,,https://i.natgeofe.com/k/57e7c759-cb4b-4828-a2ae-7da4ec8aad8d/ww-sculptures-boots.jpg?w=374&h=210,33,"Arts, Photography, Travel"
https://kids.nationalgeographic.com/wacky-weekend/article/rain-forest-animals,Wacky Weekend: Rainforest Animals,"Lots of different animals live in our world’s rainforests, which are areas with warm weather, tall trees, and—you guessed it—plenty of rain! Check out the wacky animals that call this diverse habitat home in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/cc7450b1-e778-421d-8e35-f1c69cf20f5c/ww-rain-forest-animals-happy-face-spider.jpg?w=374&h=210,71,"Tropical Rain Forest, Rainforests"
https://kids.nationalgeographic.com/wacky-weekend/article/funny-animal-faces,Wacky Weekend: Funny Animal Faces,You’re not the only one who’s struck a wacky pose for a picture—even animals get caught on camera making some pretty weird expressions. Check out the funny animal faces in the photo gallery below!,Unknown,,https://i.natgeofe.com/k/baf4215e-517c-49b4-84f4-8e63cd5e5913/ww-funny-animal-faces-lemur.jpg?w=374&h=210,55,
https://kids.nationalgeographic.com/wacky-weekend/article/wild-desserts,Wacky Weekend: Wild Desserts,"Have a craving for something sweet? Treat yourself to the wild candies, chocolates, and cakes in the photo gallery below.",Unknown,,https://i.natgeofe.com/k/c31a449a-6ae9-4673-b624-2e0c4307b4a5/ww-desserts-snake.jpg?w=374&h=210,53,Food
https://kids.nationalgeographic.com/wacky-weekend/article/toilets,Wacky Weekend: Toilets,Bet you didn’t know toilets could be so loony! Take a look at the totally out-there toilets in the photo gallery below.,Unknown,,https://i.natgeofe.com/k/c5975eb4-eed2-4d29-8630-3da5f5e3e4ec/ww-toilets-glow.jpg?w=374&h=210,38,Water
https://kids.nationalgeographic.com/wacky-weekend/article/aussie-animals,Wacky Weekend: Aussie Animals,Check out these photos of bizarre animals found around Australia in the photo gallery below.,Unknown,,https://i.natgeofe.com/k/ae97a03f-e865-4374-a76c-8db20f7dd447/ww-aussie-animals-leafy-sea-dragon.jpg?w=374&h=210,37,
https://kids.nationalgeographic.com/wacky-weekend/article/street-art,Wacky Weekend: Street Art,City streets aren’t just for cars and bicycles—they also make great places for some wild art! Flip through the photo gallery below of funky displays from around the world.,Unknown,,https://i.natgeofe.com/k/fd492f06-3cd1-451c-885b-171b7da339f4/ww-streetart-planters.jpg?w=374&h=210,23,"Painting, Photography"
https://kids.nationalgeographic.com/wacky-weekend/article/pumpkin-party,Wacky Weekend: Pumpkin Party,Halloween's not just about candy. Some zoos hand out pumpkins to challenge their animals' minds and encourage natural behavior. Take a peek at the photo gallery below of animals going wild!,Unknown,,https://i.natgeofe.com/k/a4eea2b4-a9c5-4944-9526-1243b1ea0b8c/ww-pumpkins-lions.jpg?w=374&h=210,44,"Zoos, Emotions"
https://kids.nationalgeographic.com/wacky-weekend/article/funky-foods,Wacky Weekend: Funky Foods,"Who says you shouldn’t play with your food? These yummy creations were made by sculpting, stacking, and molding edible items into funky shapes. Check out the photo gallery below!",Unknown,,https://i.natgeofe.com/k/77ebccd3-d234-4e7b-9af1-cc03bedbac67/ww-funky-foods-hamburger.jpg?w=374&h=210,42,
https://kids.nationalgeographic.com/wacky-weekend/article/bizarre-bugs,Wacky Weekend: Bizarre Bugs,The world is filled with some pretty wild bugs! Scientists have identified over a million species of insects and spiders so far. Check out the photo gallery below for some of the strangest creepy-crawlies ever found.,Unknown,,https://i.natgeofe.com/k/64913da8-8d90-4727-8d4e-bd709f909429/ww-bugs-sparklemuffin.jpg?w=374&h=210,34,Spiders
