Article_Index,SARI_Score,NatGeo_to_Wikipedia_SARI,Wikipedia_to_NatGeo_SARI
1,0.0255,0.0249,0.0260
2,0.0196,0.0345,0.0047
3,0.1557,0.2037,0.1076
4,0.0675,0.0655,0.0696
5,0.1086,0.1699,0.0473
6,0.0625,0.0746,0.0503
7,0.1624,0.2094,0.1153
8,0.0624,0.0656,0.0593
9,0.0283,0.0556,0.0010
10,0.1185,0.1845,0.0525
11,0.0000,0.0000,0.0000
12,0.0716,0.1429,0.0002
13,0.1174,0.1553,0.0796
14,0.1217,0.2083,0.0351
15,0.0463,0.0909,0.0017
16,0.0349,0.0570,0.0128
17,0.0478,0.0746,0.0209
18,0.0206,0.0319,0.0092
19,0.0375,0.0635,0.0115
20,0.0420,0.0662,0.0177
21,0.0315,0.0402,0.0227
22,0.0317,0.0533,0.0100
23,0.0274,0.0389,0.0160
24,0.1580,0.2086,0.1074
25,0.2494,0.3536,0.1453
26,0.1927,0.2844,0.1011
27,0.2707,0.3624,0.1790
28,0.1547,0.2000,0.1094
29,0.0842,0.1466,0.0218
30,0.1430,0.2500,0.0360
31,0.1383,0.2040,0.0727
32,0.1341,0.2400,0.0282
33,0.0607,0.0874,0.0341
34,0.1486,0.2277,0.0694
35,0.1660,0.2456,0.0865
36,0.1949,0.3003,0.0895
37,0.0870,0.1138,0.0601
38,0.0847,0.1077,0.0618
39,0.0727,0.0845,0.0609
40,0.0436,0.0468,0.0404
41,0.0699,0.0643,0.0754
42,0.0570,0.0848,0.0292
43,0.0490,0.0757,0.0223
44,0.0897,0.1574,0.0220
45,0.0680,0.1040,0.0321
46,0.0530,0.0874,0.0186
47,0.0516,0.0742,0.0290
48,0.0545,0.0932,0.0158
49,0.0425,0.0628,0.0222
50,0.0381,0.0378,0.0385
51,0.0465,0.0612,0.0318
52,0.0540,0.0894,0.0187
53,0.0666,0.1111,0.0220
54,0.1018,0.1361,0.0675
55,0.1790,0.3113,0.0467
56,0.1455,0.2204,0.0707
57,0.1107,0.1978,0.0236
58,0.1243,0.1964,0.0522
59,0.1194,0.1795,0.0592
60,0.0716,0.1114,0.0318
61,0.1391,0.2222,0.0559
62,0.1191,0.1929,0.0453
63,0.1342,0.2039,0.0644
64,0.1238,0.1957,0.0518
65,0.1466,0.2175,0.0757
66,0.1104,0.1735,0.0474
67,0.1516,0.2519,0.0513
68,0.0264,0.0506,0.0022
69,0.0264,0.0506,0.0022
70,0.0655,0.0741,0.0569
71,0.2289,0.4122,0.0457
72,0.1663,0.2475,0.0851
73,0.1908,0.2872,0.0944
74,0.1698,0.2690,0.0706
75,0.1485,0.2173,0.0798
76,0.1906,0.2832,0.0980
77,0.1703,0.2689,0.0717
78,0.1858,0.2841,0.0874
79,0.0342,0.0416,0.0268
80,0.1554,0.2194,0.0913
81,0.1651,0.2416,0.0886
82,0.1284,0.1970,0.0598
83,0.0427,0.0820,0.0035
84,0.1278,0.1880,0.0676
85,0.1791,0.2720,0.0863
86,0.1673,0.2527,0.0819
87,0.1164,0.1738,0.0589
88,0.1358,0.2017,0.0699
89,0.1995,0.3001,0.0988
90,0.1996,0.3031,0.0961
91,0.1329,0.1945,0.0713
92,0.1434,0.2040,0.0827
93,0.1683,0.2482,0.0884
94,0.1907,0.2900,0.0913
95,0.1854,0.2827,0.0880
96,0.1934,0.2829,0.1039
97,0.1786,0.2766,0.0807
